date,close,company,price_change,volume_change,high_low_ratio,target,headline,news_count_log,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded
2023-06-14,181.41,Apple,0.0035,0.1357170502718312,0.0,1,Apple market update,0.6931471805599453,17.866650097536485,2,6,2,0,0,0
2023-06-15,183.44,Apple,0.0112,0.3523835835090155,0.0,0,Apple market update,0.6931471805599453,17.99654034816186,3,6,2,0,0,0
2023-06-16,182.36,Apple,-0.0059,1.091784880630686,0.0,1,Apple market update,0.6931471805599453,18.433164506520004,4,6,2,0,1,0
2023-06-20,182.45,Apple,0.0005,-1.7741373145303383,0.0,0,Apple market update,0.6931471805599453,17.723507489623103,1,6,2,0,0,0
2023-06-21,181.42,Apple,-0.0057,0.003340442045284422,0.0,1,Apple market update,0.6931471805599453,17.71780036916339,2,6,2,0,0,0
2023-06-22,184.41,Apple,0.0165,0.10782635914520507,0.0,0,Apple market update,0.6931471805599453,17.75213448397433,3,6,2,0,0,0
2023-06-23,184.1,Apple,-0.0017,0.11183467499567903,0.0,0,Apple market update,0.6931471805599453,17.78800760446038,4,6,2,0,1,0
2023-06-26,182.71,Apple,-0.0076,-0.2453576152744505,0.0,1,Apple market update,0.6931471805599453,17.688557801036243,0,6,2,1,0,0
2023-06-27,185.46,Apple,0.0151,0.157360624355263,0.0,1,Apple market update,0.6931471805599453,17.742043798891906,1,6,2,0,0,0
2023-06-28,186.63,Apple,0.0063,0.043355296445961526,0.0,1,Apple market update,0.6931471805599453,17.751578180713345,2,6,2,0,0,0
2023-06-29,186.97,Apple,0.0018,-0.2465373701058125,-3.469446951953614e-18,1,Apple market update,0.6931471805599453,17.651673617428443,3,6,2,0,0,0
2023-06-30,191.29,Apple,0.0231,1.478520079564861,0.0,0,Apple market update,0.6931471805599453,18.260666921111934,4,6,2,0,1,0
2023-07-03,189.8,Apple,-0.0078,-2.3512739207417206,0.0,0,Apple market update,0.6931471805599453,17.26417027023399,0,7,3,1,0,0
2023-07-05,188.68,Apple,-0.0059,1.0064740109796906,0.0,1,Apple market update,0.6931471805599453,17.663960996903736,2,7,3,0,0,0
2023-07-06,189.16,Apple,0.0025,-0.08623674816973709,0.0,0,Apple market update,0.6931471805599453,17.624266432851986,3,7,3,0,0,0
2023-07-07,188.04,Apple,-0.0059,0.11608471907381503,0.0,0,Apple market update,0.6931471805599453,17.661714243715803,4,7,3,0,1,0
2023-07-10,186.0,Apple,-0.0109,0.6423403244084906,0.0,0,Apple market update,0.6931471805599453,17.90855762880837,0,7,3,1,0,0
2023-07-11,185.48,Apple,-0.0028,-0.6483588685713187,0.0,1,Apple market update,0.6931471805599453,17.657928383054088,1,7,3,0,0,0
2023-07-12,187.15,Apple,0.009,0.6848622448257744,0.0,1,Apple market update,0.6931471805599453,17.922280948821435,2,7,3,0,0,0
2023-07-13,187.91,Apple,0.0041,-0.9983179577167953,-3.469446951953614e-18,1,Apple market update,0.6931471805599453,17.537396771046275,3,7,3,0,0,0
2023-07-14,188.05,Apple,0.0008,0.03557150253559349,0.0,1,Apple market update,0.6931471805599453,17.54400009653203,4,7,3,0,1,0
2023-07-17,191.31,Apple,0.0173,0.5123640845060393,0.0,0,Apple market update,0.6931471805599453,17.737883834060977,0,7,3,1,0,0
2023-07-18,191.05,Apple,-0.0013,-0.10088700778570475,0.0,1,Apple market update,0.6931471805599453,17.6926978030659,1,7,3,0,0,0
2023-07-19,192.4,Apple,0.0071,1.261394007936746,0.0,0,Apple market update,0.6931471805599453,18.203858433928364,2,7,3,0,0,0
2023-07-20,190.46,Apple,-0.0101,-0.7808927165227336,0.0,0,Apple market update,0.6931471805599453,17.902850662817308,3,7,3,0,0,0
2023-07-21,189.29,Apple,-0.0062,0.4992735063888848,0.0,1,Apple market update,0.6931471805599453,18.091505632435847,4,7,3,0,1,0
2023-07-24,190.09,Apple,0.0042,-1.1900550212786447,0.0,1,Apple market update,0.6931471805599453,17.630533578671617,0,7,3,1,0,0
2023-07-25,190.94,Apple,0.0045,-0.5045030374179372,0.0,1,Apple market update,0.6931471805599453,17.43405340782949,1,7,3,0,0,0
2023-07-26,191.81,Apple,0.0045,0.6295466024082965,0.0,0,Apple market update,0.6931471805599453,17.675648536070728,2,7,3,0,0,0
